NOMBREPROYEC,URL,CARRERA,FACULTAD
Estudio sobre la creación de una productora de sonido en la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/53048,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Realización de un programa científico “SCIENTI”.,https://dspace.espol.edu.ec/handle/123456789/54816,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Creación de un documental sobre el impacto del proyecto “Identidad Viva, Murales Comunitarios” en los estudiantes de nueve Instituciones educativas del Cantón Durán",https://dspace.espol.edu.ec/handle/123456789/53992,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Mobbing: Acoso Laboral,https://dspace.espol.edu.ec/handle/123456789/54138,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Estudio de factibilidad para la creación de una microempresa de artesanía con material reciclable,https://dspace.espol.edu.ec/handle/123456789/53003,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Presentación del Grupo de Protección Animal GPA Espol y lanzamiento de la campaña Adopta un Corazón.,https://dspace.espol.edu.ec/handle/123456789/54128,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Control de la Salud Pública de la Ciudad de Guayaquil por medio de análisis de aerobios termófilos esporulados en desechos hospitalarios con riesgo biológico.,https://dspace.espol.edu.ec/handle/123456789/54787,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Producción de un documental sobre la comercialización de cultura y tradiciones ancestrales,https://dspace.espol.edu.ec/handle/123456789/53944,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Producción de un documental sobre la importancia de el uso de pelucas en niños pacientes con cáncer.,https://dspace.espol.edu.ec/handle/123456789/53936,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Programa Campus Deportivo Episodio Viviendo el Baloncesto,https://dspace.espol.edu.ec/handle/123456789/54139,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Dirección de arte de un programa de televisión Hazte Fama,https://dspace.espol.edu.ec/handle/123456789/53386,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Tour 360º ESPOL.,https://dspace.espol.edu.ec/handle/123456789/54077,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Mesa Interactiva.,https://dspace.espol.edu.ec/handle/123456789/54173,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Ecuador entre vagones y tradiciones,https://dspace.espol.edu.ec/handle/123456789/53982,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Documental sombrero de paja toquilla,https://dspace.espol.edu.ec/handle/123456789/54082,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Chordeleg, para vivirlo juntos",https://dspace.espol.edu.ec/handle/123456789/54071,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Tatuando Guayaquil,https://dspace.espol.edu.ec/handle/123456789/54087,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
CAMPUS DEPORTIVO Capítulo: Tenis,https://dspace.espol.edu.ec/handle/123456789/54142,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Maestrías FCSH.,https://dspace.espol.edu.ec/handle/123456789/54080,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Videos Motivacionales y promocionales para: Licenciatura en Diseño Gráfico y Licenciatura en Producción para Medios de Comunicación Maestría en Diseño & Branding,https://dspace.espol.edu.ec/handle/123456789/53973,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
"Construcción de la Propuesta Audiovisual Informativo Turística ""Travesía Ecuador""",https://dspace.espol.edu.ec/handle/123456789/53000,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
Cápsulas audiovisuales de prácticas pre profesionales de servicio comunitario.,https://dspace.espol.edu.ec/handle/123456789/54112,Licenciatura en Diseño y Producción Audiovisual,Escuela de Diseño y Comunicación Visual
