NOMBREPROYEC,URL,CARRERA,FACULTAD
Propuesta Audiovisual para el cuerpo de Bomberos de Samborondón.,https://dspace.espol.edu.ec/handle/123456789/53955,Licenciatura en Comunicación Social,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Juego de mesa para desafiar mentes jóvenes y fortalecer conexiones sociales,https://dspace.espol.edu.ec/handle/123456789/65770,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de accesorio portátil inteligente para identificación de ruta de bus urbano para personas con visión reducida,https://dspace.espol.edu.ec/handle/123456789/65771,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de carcasa adaptable para componentes electrónicos utilizados en el prototipado,https://dspace.espol.edu.ec/handle/123456789/57763,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de mobiliario modular para interiores reducidos con accesorios para mascotas,https://dspace.espol.edu.ec/handle/123456789/57761,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Juego didáctico de apoyo terapéutico para niños con Trastorno del Espectro  Autista (TEA),https://dspace.espol.edu.ec/handle/123456789/57764,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de sistema de protección funcional para adultos mayores ante caídas accidentales,https://dspace.espol.edu.ec/handle/123456789/65772,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Chocoth: Kit termoformador enfocado en la fabricación de moldes personalizados para chocolate,https://dspace.espol.edu.ec/handle/123456789/65768,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de un juguete interactivo para estimulación sensorial y educativa en párvulos,https://dspace.espol.edu.ec/handle/123456789/60645,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de línea de mobiliario de concreto para espacios públicos exteriores e interiores,https://dspace.espol.edu.ec/handle/123456789/60650,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de paneles decorativos aplicando micomateriales,https://dspace.espol.edu.ec/handle/123456789/57759,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de prendas de protección mediante el uso de técnicas de manufactura aditiva,https://dspace.espol.edu.ec/handle/123456789/60642,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de indicador inalámbrico para atletas con discapacidad auditiva,https://dspace.espol.edu.ec/handle/123456789/60643,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de Infraestructura sostenible para mejorar la experiencia y recreación de visita al Bosque Protector Prosperina,https://dspace.espol.edu.ec/handle/123456789/62840,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Desarrollo de un conjunto de herramientas educativas y recreativas para promover la natación en niños de 3 a 6 años,https://dspace.espol.edu.ec/handle/123456789/62847,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de juguete didáctico para estimulación de la atención y memoria en niños,https://dspace.espol.edu.ec/handle/123456789/65766,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de juguete para promover un aprendizaje divertido sobre alimentación sana,https://dspace.espol.edu.ec/handle/123456789/65767,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de juego interactivo que ayuda a la motricidad y habilidades sociales en edad preescolar,https://dspace.espol.edu.ec/handle/123456789/62846,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de exhibidor modular desmontable para espacios promocionales,https://dspace.espol.edu.ec/handle/123456789/58415,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Macetero inteligente para interiores con sistema de riego automático,https://dspace.espol.edu.ec/handle/123456789/57760,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de Arenero semiautomático para gatos,https://dspace.espol.edu.ec/handle/123456789/60644,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Desarrollo de cuento pedagógico interactivo para la educación en niños de preescolar.,https://dspace.espol.edu.ec/handle/123456789/60649,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Panel didáctico para enseñanza en niños de Inicial I y II,https://dspace.espol.edu.ec/handle/123456789/57762,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de un sanitizador de ropa de uso doméstico,https://dspace.espol.edu.ec/handle/123456789/65769,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de mueble organizador residencial para estudiantes universitarios,https://dspace.espol.edu.ec/handle/123456789/60646,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de accesorios de mobiliario ecológico a partir de micelio para espacios sostenibles y vanguardistas,https://dspace.espol.edu.ec/handle/123456789/60648,Diseño de Productos,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Elaboración de material didáctico para la educación Diabetológica de niños con Diabetes Mellitus Tipo 1,https://dspace.espol.edu.ec/handle/123456789/53710,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de libro de Leyendas Ecuatorianas.,https://dspace.espol.edu.ec/handle/123456789/53872,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Guía didáctica virtual sobre Gráfica popular para proyectos tipográficos,https://dspace.espol.edu.ec/handle/123456789/62764,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de una revista sobre patrones para Diseño Gráfico a partir de insectos cuyo hábitat es el Bosque Protector la Prosperina,https://dspace.espol.edu.ec/handle/123456789/53675,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
"Propuesta para reducir la contaminación visual en los canales de distribución  minoristas, aplicando estrategias de visual merchandising en el sector sur de la ciudad  de Guayaquil.",https://dspace.espol.edu.ec/handle/123456789/56264,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Señaléticas para el Bosque Protector Prosperina.,https://dspace.espol.edu.ec/handle/123456789/53740,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de cancionero ilustrado con lettering dirigido a jóvenes de Guayaquil para la promoción del pasillo ecuatoriano,https://dspace.espol.edu.ec/handle/123456789/65754,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Desarrollo de un Sistema Producto dirigido a la prevención y orientación de embarazos en adolescentes de bajos recursos de la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/53632,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño de un recurso interactivo digital que propicie la participación de los padres en el proceso de estimulación de lenguaje en infantes regulares de 3 a 5 años con problemas lingüísticos del Centro de salud de Bastión Popular Tipo C,https://dspace.espol.edu.ec/handle/123456789/53700,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Imagen corporativa de la fundación benéfica acción solidaria: Manual de marca,https://dspace.espol.edu.ec/handle/123456789/59374,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Imagen corporativa y pagina web de bienestar estudiantil: manual de diseño,https://dspace.espol.edu.ec/handle/123456789/59368,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Tendencias y adaptación de línea gráfica sobre escenarios del Ecuador a ser utilizados en juegos infantiles para el aprendizaje del entorno natural-plantas,https://dspace.espol.edu.ec/handle/123456789/53737,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Sitio web PEPSI Ecuador: manual de diseño,https://dspace.espol.edu.ec/handle/123456789/59499,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Dirección de arte enfocado al rediseño del reality show ‘quiero ser una estrella’ de ESPOL tv en la Peninsula de Santa Elena,https://dspace.espol.edu.ec/handle/123456789/53074,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Implementación de un Videojuego lúdico para el fomento de hábitos saludables para niños de la Fundación Sonrisa Naranja,https://dspace.espol.edu.ec/handle/123456789/53722,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Mágicas macroalgas: Diseño de marca y empaque para fitoproductos de algas ecuatorianas,https://dspace.espol.edu.ec/handle/123456789/57719,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño editorial de la primera guía de avistamiento de aves ilustrada del bosque protector la prosperina para jóvenes estudiantes.,https://dspace.espol.edu.ec/handle/123456789/53756,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
"Diseño de página web  de ""PROTEL"": Manual de diseño",https://dspace.espol.edu.ec/handle/123456789/59415,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Elaboración de una propuesta gráfica para apoyo al aprendizaje de la comunicación en niños con trastorno del desarrollo intelectual leve,https://dspace.espol.edu.ec/handle/123456789/53699,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Juego de cartas ilustradas como herramienta de entretenimiento para fomentar el conocimiento de lugares turísticos e históricos de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/57713,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Desarrollo de rigs para animación de caracteres. Manual de diseño.,https://dspace.espol.edu.ec/handle/123456789/57870,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Diseño editorial de novela juvenil para prevenir trastornos alimenticios en las adolescentes,https://dspace.espol.edu.ec/handle/123456789/53777,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Material didáctico para la creación de un mini huerto ecológico,https://dspace.espol.edu.ec/handle/123456789/53778,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Administración del color en el flujo de producción de una revista con hexacromía,https://dspace.espol.edu.ec/handle/123456789/21627,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Creación de un álbum fotográfico de autos clásicos y deportivos en Guayaquil,https://dspace.espol.edu.ec/handle/123456789/65753,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
Patrimonio Silencioso: Propuesta tipográfica basada en la gráfica ornamentada en hierro de enrejados de la ciudad de Guayaquil,https://dspace.espol.edu.ec/handle/123456789/53682,Diseño Gráfico,"Facultad de Arte, Diseño y Comunicación Audiovisual"
